experiment,sweep_variable,sweep_value,method,metric,mean,std,sem,n_seeds,n_frames
rmse_vs_L,L,1,EKF,RMSE,0.40439258988154986,0.1700052336682592,0.03103856712468077,30,100
rmse_vs_L,L,1,IEKF,RMSE,0.4043925898745941,0.17000523359762573,0.031038567111784918,30,100
rmse_vs_L,L,1,GN,RMSE,0.5278420584174176,0.523275945298321,0.09553667967990992,30,100
rmse_vs_L,L,1,DU-tun,RMSE,0.3407734926286455,0.09530423451746331,0.017400093023659045,30,100
rmse_vs_L,L,2,IEKF,RMSE,0.2580779344416851,0.09710641520965621,0.01772912469626382,30,100
rmse_vs_L,L,2,GN,RMSE,0.3565234572517666,0.4836108063306878,0.08829484922685997,30,100
rmse_vs_L,L,2,DU-tun,RMSE,0.2660667505479538,0.40901702150292274,0.07467594969357545,30,100
rmse_vs_L,L,4,IEKF,RMSE,0.14509646940252702,0.04561653908432124,0.008328402483932932,30,100
rmse_vs_L,L,4,GN,RMSE,0.1244907495918981,0.04446930853468755,0.008118947800368459,30,100
rmse_vs_L,L,4,DU-tun,RMSE,0.09183145306669913,0.026023715858884133,0.004751258735338589,30,100
rmse_vs_L,L,6,IEKF,RMSE,0.1758227344555022,0.26939349794270345,0.04918429855614675,30,100
rmse_vs_L,L,6,GN,RMSE,0.08408143192420339,0.0231659596192936,0.004229506216580298,30,100
rmse_vs_L,L,6,DU-tun,RMSE,0.07277478103103228,0.018449269282605034,0.00336836031852331,30,100
rmse_vs_L,L,8,IEKF,RMSE,0.09878410648637613,0.029448547111817762,0.005376544512965399,30,100
rmse_vs_L,L,8,GN,RMSE,0.07734888512789088,0.02391652437704967,0.004366539966144099,30,100
rmse_vs_L,L,8,DU-tun,RMSE,0.0734914291380241,0.021316787169584517,0.0038918950621060476,30,100
rmse_vs_L,L,10,IEKF,RMSE,0.09460751110791464,0.028778346047883256,0.005254183099371769,30,100
rmse_vs_L,L,10,GN,RMSE,0.07552883305736079,0.023086178740746578,0.00421494028763437,30,100
rmse_vs_L,L,10,DU-tun,RMSE,0.07225194887065163,0.02073152137537677,0.003785040636231461,30,100
ber_vs_L,L,1,EKF,BER_pct,10.671614583333334,4.945559533116008,0.9029315052574517,30,100
ber_vs_L,L,1,IEKF,BER_pct,10.671614583333334,4.945559533116008,0.9029315052574517,30,100
ber_vs_L,L,1,GN,BER_pct,14.50078125,15.07346975173418,2.752026467632202,30,100
ber_vs_L,L,1,DU-tun,BER_pct,7.448177083333333,3.2020694928437874,0.5846152306432232,30,100
ber_vs_L,L,2,IEKF,BER_pct,5.372395833333333,2.9764649845502085,0.543425671220805,30,100
ber_vs_L,L,2,GN,BER_pct,8.791145833333333,13.329214543277176,2.43357049305961,30,100
ber_vs_L,L,2,DU-tun,BER_pct,5.901041666666667,12.442929832687337,2.2717577836056124,30,100
ber_vs_L,L,4,IEKF,BER_pct,1.7177083333333334,1.0807989435305743,0.19732598716648259,30,100
ber_vs_L,L,4,GN,BER_pct,1.7934895833333333,1.1877512812080164,0.2168527231410975,30,100
ber_vs_L,L,4,DU-tun,BER_pct,0.7721354166666666,0.6270184961808953,0.11447739144374774,30,100
ber_vs_L,L,6,IEKF,BER_pct,2.3817708333333334,6.805779527918818,1.2425596562826657,30,100
ber_vs_L,L,6,GN,BER_pct,0.48880208333333336,0.4485431211512646,0.08189239515610673,30,100
ber_vs_L,L,6,DU-tun,BER_pct,0.16458333333333333,0.21068593538263428,0.03846581311938154,30,100
ber_vs_L,L,8,IEKF,BER_pct,0.26223958333333336,0.2581963945269209,0.047139996516299326,30,100
ber_vs_L,L,8,GN,BER_pct,0.23984375,0.33547782261447007,0.061249590329554,30,100
ber_vs_L,L,8,DU-tun,BER_pct,0.1625,0.3322863603285826,0.06066691170108481,30,100
