data_type,frame,improvement_vs_EKF_pct,is_slip_frame,mean,median,method,n_samples,n_seeds,n_t,p90,p95,p99,phase_error_mean,phase_error_std,phi_DU,phi_EKF,phi_GN6,phi_true,rmse_mean,rmse_sem,rmse_std,seed,slip_frame,sqrt_pcrb_nu,sqrt_pcrb_phi,sqrt_pcrb_tau,std
recovery_time,4,,,,,GN-6,,30,,,,,0.02778072174260693,0.020151580838048085,,,,,,,,,20,,,,
recovery_time,4,,,,,DU-tun-6,,30,,,,,0.027365916954345603,0.019880053821139682,,,,,,,,,20,,,,
recovery_time,5,,,,,EKF,,30,,,,,0.034395066465839515,0.023546384523484457,,,,,,,,,20,,,,
recovery_time,5,,,,,IEKF-4,,30,,,,,0.03396227832155603,0.024050707576890602,,,,,,,,,20,,,,
recovery_time,5,,,,,GN-6,,30,,,,,0.03383908711068931,0.024028635738953346,,,,,,,,,20,,,,
recovery_time,5,,,,,DU-tun-6,,30,,,,,0.03325737513578551,0.023808399725357934,,,,,,,,,20,,,,
recovery_time,6,,,,,EKF,,30,,,,,0.024653093387689808,0.01759843550299052,,,,,,,,,20,,,,
recovery_time,6,,,,,IEKF-4,,30,,,,,0.02417782014402888,0.017599522737685887,,,,,,,,,20,,,,
recovery_time,6,,,,,GN-6,,30,,,,,0.0240330485570403,0.017570350485742216,,,,,,,,,20,,,,
recovery_time,6,,,,,DU-tun-6,,30,,,,,0.02365838341111012,0.017360289021270976,,,,,,,,,20,,,,
recovery_time,7,,,,,EKF,,30,,,,,0.02223826186494427,0.01923853838883433,,,,,,,,,20,,,,
recovery_time,7,,,,,IEKF-4,,30,,,,,0.02209448446224673,0.01924048009249043,,,,,,,,,20,,,,
recovery_time,7,,,,,GN-6,,30,,,,,0.022134369556880737,0.018995708477641142,,,,,,,,,20,,,,
recovery_time,7,,,,,DU-tun-6,,30,,,,,0.021797466925957833,0.018532357485555373,,,,,,,,,20,,,,
recovery_time,8,,,,,EKF,,30,,,,,0.023962555046477173,0.016858173655500165,,,,,,,,,20,,,,
recovery_time,8,,,,,IEKF-4,,30,,,,,0.023693905430404408,0.01653474218806579,,,,,,,,,20,,,,
recovery_time,8,,,,,GN-6,,30,,,,,0.02366390665120012,0.016389839223091125,,,,,,,,,20,,,,
recovery_time,8,,,,,DU-tun-6,,30,,,,,0.023150487812517155,0.016041512531298912,,,,,,,,,20,,,,
recovery_time,9,,,,,EKF,,30,,,,,0.021607565262647378,0.018711900819048034,,,,,,,,,20,,,,
recovery_time,9,,,,,IEKF-4,,30,,,,,0.021385788011517835,0.018775578268346478,,,,,,,,,20,,,,
recovery_time,9,,,,,GN-6,,30,,,,,0.0213048185039999,0.018685103964898017,,,,,,,,,20,,,,
recovery_time,9,,,,,DU-tun-6,,30,,,,,0.02094781962825912,0.018462356089324332,,,,,,,,,20,,,,
recovery_time,10,,,,,EKF,,30,,,,,0.023685850127465758,0.01655437203284957,,,,,,,,,20,,,,
recovery_time,10,,,,,IEKF-4,,30,,,,,0.02351392726981767,0.016283358249285024,,,,,,,,,20,,,,
recovery_time,10,,,,,GN-6,,30,,,,,0.02334299750622845,0.016255725372751408,,,,,,,,,20,,,,
recovery_time,10,,,,,DU-tun-6,,30,,,,,0.022810108038046003,0.015813687677748888,,,,,,,,,20,,,,
recovery_time,11,,,,,EKF,,30,,,,,0.020932332958061222,0.014928869438605512,,,,,,,,,20,,,,
recovery_time,11,,,,,IEKF-4,,30,,,,,0.02134218076049009,0.015114108446934001,,,,,,,,,20,,,,
recovery_time,11,,,,,GN-6,,30,,,,,0.021386059412007618,0.01516392273003536,,,,,,,,,20,,,,
recovery_time,11,,,,,DU-tun-6,,30,,,,,0.02123152539449927,0.014933979535290673,,,,,,,,,20,,,,
recovery_time,12,,,,,EKF,,30,,,,,0.03432127523022643,0.02481436389234241,,,,,,,,,20,,,,
recovery_time,12,,,,,IEKF-4,,30,,,,,0.03471270798131581,0.025192010933353826,,,,,,,,,20,,,,
recovery_time,12,,,,,GN-6,,30,,,,,0.03475793876868322,0.02520827022879258,,,,,,,,,20,,,,
recovery_time,12,,,,,DU-tun-6,,30,,,,,0.03451366456973108,0.0249435321294847,,,,,,,,,20,,,,
recovery_time,13,,,,,EKF,,30,,,,,0.01623619142004835,0.013791985210862225,,,,,,,,,20,,,,
